22:51:59.173 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
22:52:00.102 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 38a4044f-8ec0-4abb-8117-6698a3d7aeed_config-0
22:52:00.143 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 25 ms to scan 1 urls, producing 3 keys and 6 values 
22:52:00.163 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 4 keys and 9 values 
22:52:00.173 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 3 keys and 10 values 
22:52:00.188 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 12 ms to scan 1 urls, producing 1 keys and 5 values 
22:52:00.198 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 7 ms to scan 1 urls, producing 1 keys and 7 values 
22:52:00.208 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 7 ms to scan 1 urls, producing 2 keys and 8 values 
22:52:00.211 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [38a4044f-8ec0-4abb-8117-6698a3d7aeed_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
22:52:00.211 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [38a4044f-8ec0-4abb-8117-6698a3d7aeed_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$463/0x0000000800e76840
22:52:00.211 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [38a4044f-8ec0-4abb-8117-6698a3d7aeed_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$464/0x0000000800e76c40
22:52:00.212 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [38a4044f-8ec0-4abb-8117-6698a3d7aeed_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
22:52:00.212 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [38a4044f-8ec0-4abb-8117-6698a3d7aeed_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
22:52:00.219 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [38a4044f-8ec0-4abb-8117-6698a3d7aeed_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
22:52:02.307 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [38a4044f-8ec0-4abb-8117-6698a3d7aeed_config-0] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1683730322132_127.0.0.1_51289
22:52:02.308 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [38a4044f-8ec0-4abb-8117-6698a3d7aeed_config-0] Notify connected event to listeners.
22:52:02.309 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [38a4044f-8ec0-4abb-8117-6698a3d7aeed_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
22:52:02.309 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [38a4044f-8ec0-4abb-8117-6698a3d7aeed_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$479/0x0000000800e72440
22:52:02.387 [main] INFO  c.r.g.RuoYiGatewayApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
22:52:06.921 [main] INFO  c.a.c.s.g.s.SentinelSCGAutoConfiguration - [sentinelGatewayFilter,144] - [Sentinel SpringCloudGateway] register SentinelGatewayFilter with order: -2147483648
